id,metric,tag
kff120c,torque.trip.distance.stored.in.vehicle.profile,
kff1214,torque.o2.volts,"bank=1,sensor=1"
kff1215,torque.o2.volts,"bank=1,sensor=2"
kff1216,torque.o2.volts,"bank=1,sensor=3"
kff1217,torque.o2.volts,"bank=1,sensor=4"
kff1218,torque.o2.volts,"bank=2,sensor=1"
kff1219,torque.o2.volts,"bank=2,sensor=2"
kff121a,torque.o2.volts,"bank=2,sensor=3"
kff121b,torque.o2.volts,"bank=2,sensor=4"
kff1220,torque.acceleration.sensor,axis=x
kff1221,torque.acceleration.sensor,axis=y
kff1222,torque.acceleration.sensor,axis=z
kff1223,torque.acceleration.sensor,axis=total
kff1225,torque.torque,
kff1226,torque.horsepower.wheels,
kff122d,torque.0.to.60mph.time,
kff122e,torque.0.to.100kph.time,
kff122f,torque.1/4.mile.time,
kff1230,torque.1/8.mile.time,
kff1237,torque.gps.vs.obd.speed.difference,
kff1238,torque.voltage.obd.adapter,
kff1239,torque.gps.accuracy,
kff123a,torque.gps.satellites,
kff123b,torque.gps.bearing,
kff1240,torque.o2.wide.range.voltage,sensor=1
kff1241,torque.o2.wide.range.voltage,sensor=2
kff1242,torque.o2.wide.range.voltage,sensor=3
kff1243,torque.o2.wide.range.voltage,sensor=4
kff1244,torque.o2.wide.range.voltage,sensor=5
kff1245,torque.o2.wide.range.voltage,sensor=6
kff1246,torque.o2.wide.range.voltage,sensor=7
kff1247,torque.o2.wide.range.voltage,sensor=8
kff1249,torque.air.fuel.ratio.measured,
kff124a,torque.tilt,axis=x
kff124b,torque.tilt,axis=y
kff124c,torque.tilt,axis=z
kff124d,torque.air.fuel.ratio.commanded,
kff124f,torque.0.to.200kph.time,
kff1257,torque.co2.in.g/km.instantaneous,
kff1258,torque.co2.in.g/km.average,
kff125a,torque.fuel.flow.rate.per.minute,
kff125c,torque.fuel.cost.trip,
kff125d,torque.fuel.flow.rate.per.hour,
kff125e,torque.60.to.120mph.time,
kff125f,torque.60.to.80mph.time,
kff1260,torque.40.to.60mph.time,
kff1261,torque.80.to.100mph.time,
kff1263,torque.average.trip.speed.whilst.moving.only,
kff1264,torque.100.to.0kph.time,
kff1265,torque.60.to.0mph.time,
kff1266,torque.trip.time.since.journey.start,
kff1267,torque.trip.time.whilst.stationary,
kff1268,torque.trip.time.whilst.moving,
kff1269,torque.volumetric.efficiency.calculated,
kff126a,torque.distance.to.empty.estimated,
kff126b,torque.fuel.remaining.calculated.from.vehicle.profile,
kff126d,torque.cost.per.km.instant,
kff126e,torque.cost.per.km.trip,
kff1270,torque.barometer.on.android.device,
kff1271,torque.fuel.used.trip,
kff1272,torque.average.trip.speed.whilst.stopped.or.moving,
kff1273,torque.engine.kw.at.the.wheels,
kff1275,torque.80.to.120kph.time,
kff1276,torque.60.to.130mph.time,
kff1277,torque.0.to.30mph.time,
kff5201,torque.miles.per.gallon.long.term.average,
kff5202,torque.kilometers.per.litre.long.term.average,
kff5203,torque.litres.per.100.kilometer.long.term.average,
session,torque.session.id,
